raion,field,date,state,file,,,
Akkolskii_evw,27481,2020-04-01,none,data/Akkolskii_evw/27481/27481_2020-04-01.png,,nothing,data/Akkolskii_evw/27481/27481_2020-04-01_nothing.png
Akkolskii_evw,26422,2020-04-01,none,data/Akkolskii_evw/26422/26422_2020-04-01.png,,nothing,data/Akkolskii_evw/26422/26422_2020-04-01_nothing.png
Akkolskii_evw,27070,2020-04-01,none,data/Akkolskii_evw/27070/27070_2020-04-01.png,,nothing,data/Akkolskii_evw/27070/27070_2020-04-01_nothing.png
Akkolskii_evw,26168,2020-04-01,none,data/Akkolskii_evw/26168/26168_2020-04-01.png,,nothing,data/Akkolskii_evw/26168/26168_2020-04-01_nothing.png
Akkolskii_evw,25914,2020-04-01,none,data/Akkolskii_evw/25914/25914_2020-04-01.png,,nothing,data/Akkolskii_evw/25914/25914_2020-04-01_nothing.png
Akkolskii_evw,27621,2020-04-01,none,data/Akkolskii_evw/27621/27621_2020-04-01.png,unvisible,unvisible,data/Akkolskii_evw/27621/27621_2020-04-01_unvisible.png
Akkolskii_evw,27170,2020-04-01,none,data/Akkolskii_evw/27170/27170_2020-04-01.png,unvisible,unvisible,data/Akkolskii_evw/27170/27170_2020-04-01_unvisible.png
Akkolskii_evw,26562,2020-04-01,none,data/Akkolskii_evw/26562/26562_2020-04-01.png,,nothing,data/Akkolskii_evw/26562/26562_2020-04-01_nothing.png
Akkolskii_evw,26536,2020-04-01,none,data/Akkolskii_evw/26536/26536_2020-04-01.png,,nothing,data/Akkolskii_evw/26536/26536_2020-04-01_nothing.png
Astrahanskii_evw,26333,2020-04-01,none,data/Astrahanskii_evw/26333/26333_2020-04-01.png,,nothing,data/Astrahanskii_evw/26333/26333_2020-04-01_nothing.png
Astrahanskii_evw,25706,2020-04-01,none,data/Astrahanskii_evw/25706/25706_2020-04-01.png,,nothing,data/Astrahanskii_evw/25706/25706_2020-04-01_nothing.png
Astrahanskii_evw,25098,2020-04-01,none,data/Astrahanskii_evw/25098/25098_2020-04-01.png,,nothing,data/Astrahanskii_evw/25098/25098_2020-04-01_nothing.png
Astrahanskii_evw,26354,2020-04-01,none,data/Astrahanskii_evw/26354/26354_2020-04-01.png,,nothing,data/Astrahanskii_evw/26354/26354_2020-04-01_nothing.png
Astrahanskii_evw,25452,2020-04-01,none,data/Astrahanskii_evw/25452/25452_2020-04-01.png,,nothing,data/Astrahanskii_evw/25452/25452_2020-04-01_nothing.png
Astrahanskii_evw,25198,2020-04-01,none,data/Astrahanskii_evw/25198/25198_2020-04-01.png,,nothing,data/Astrahanskii_evw/25198/25198_2020-04-01_nothing.png
Astrahanskii_evw,26297,2020-04-01,none,data/Astrahanskii_evw/26297/26297_2020-04-01.png,,nothing,data/Astrahanskii_evw/26297/26297_2020-04-01_nothing.png
Atbasarskii_evw,21870,2020-04-01,none,data/Atbasarskii_evw/21870/21870_2020-04-01.png,,nothing,data/Atbasarskii_evw/21870/21870_2020-04-01_nothing.png
Atbasarskii_evw,21419,2020-04-01,none,data/Atbasarskii_evw/21419/21419_2020-04-01.png,,nothing,data/Atbasarskii_evw/21419/21419_2020-04-01_nothing.png
Atbasarskii_evw,21673,2020-04-01,none,data/Atbasarskii_evw/21673/21673_2020-04-01.png,,nothing,data/Atbasarskii_evw/21673/21673_2020-04-01_nothing.png
Zerendinskii_evw,30152,2020-04-01,none,data/Zerendinskii_evw/30152/30152_2020-04-01.png,,nothing,data/Zerendinskii_evw/30152/30152_2020-04-01_nothing.png
Zerendinskii_evw,29701,2020-04-01,none,data/Zerendinskii_evw/29701/29701_2020-04-01.png,,nothing,data/Zerendinskii_evw/29701/29701_2020-04-01_nothing.png
Zerendinskii_evw,28585,2020-04-01,none,data/Zerendinskii_evw/28585/28585_2020-04-01.png,,nothing,data/Zerendinskii_evw/28585/28585_2020-04-01_nothing.png
Alginskii_evw,1721,2020-04-01,none,data/Alginskii_evw/1721/1721_2020-04-01.png,,nothing,data/Alginskii_evw/1721/1721_2020-04-01_nothing.png
Alginskii_evw,2469,2020-04-01,none,data/Alginskii_evw/2469/2469_2020-04-01.png,,nothing,data/Alginskii_evw/2469/2469_2020-04-01_nothing.png
Alginskii_evw,2412,2020-04-01,none,data/Alginskii_evw/2412/2412_2020-04-01.png,,nothing,data/Alginskii_evw/2412/2412_2020-04-01_nothing.png
Alginskii_evw,2101,2020-04-01,none,data/Alginskii_evw/2101/2101_2020-04-01.png,,nothing,data/Alginskii_evw/2101/2101_2020-04-01_nothing.png
Alginskii_evw,1847,2020-04-01,none,data/Alginskii_evw/1847/1847_2020-04-01.png,,nothing,data/Alginskii_evw/1847/1847_2020-04-01_nothing.png
Alginskii_evw,2438,2020-04-01,none,data/Alginskii_evw/2438/2438_2020-04-01.png,,nothing,data/Alginskii_evw/2438/2438_2020-04-01_nothing.png
Alginskii_evw,1733,2020-04-01,none,data/Alginskii_evw/1733/1733_2020-04-01.png,,nothing,data/Alginskii_evw/1733/1733_2020-04-01_nothing.png
Alginskii_evw,2184,2020-04-01,none,data/Alginskii_evw/2184/2184_2020-04-01.png,,nothing,data/Alginskii_evw/2184/2184_2020-04-01_nothing.png
Alginskii_evw,1816,2020-04-01,none,data/Alginskii_evw/1816/1816_2020-04-01.png,,nothing,data/Alginskii_evw/1816/1816_2020-04-01_nothing.png
Alginskii_evw,2310,2020-04-01,none,data/Alginskii_evw/2310/2310_2020-04-01.png,,nothing,data/Alginskii_evw/2310/2310_2020-04-01_nothing.png
Akkolskii_evw,27481,2020-04-02,none,data/Akkolskii_evw/27481/27481_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/27481/27481_2020-04-02_unvisible.png
Akkolskii_evw,26422,2020-04-02,none,data/Akkolskii_evw/26422/26422_2020-04-02.png,,nothing,data/Akkolskii_evw/26422/26422_2020-04-02_nothing.png
Akkolskii_evw,27070,2020-04-02,none,data/Akkolskii_evw/27070/27070_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/27070/27070_2020-04-02_unvisible.png
Akkolskii_evw,26168,2020-04-02,none,data/Akkolskii_evw/26168/26168_2020-04-02.png,,nothing,data/Akkolskii_evw/26168/26168_2020-04-02_nothing.png
Akkolskii_evw,26365,2020-04-02,none,data/Akkolskii_evw/26365/26365_2020-04-02.png,,nothing,data/Akkolskii_evw/26365/26365_2020-04-02_nothing.png
Akkolskii_evw,25914,2020-04-02,none,data/Akkolskii_evw/25914/25914_2020-04-02.png,,nothing,data/Akkolskii_evw/25914/25914_2020-04-02_nothing.png
Akkolskii_evw,27621,2020-04-02,none,data/Akkolskii_evw/27621/27621_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/27621/27621_2020-04-02_unvisible.png
Akkolskii_evw,27170,2020-04-02,none,data/Akkolskii_evw/27170/27170_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/27170/27170_2020-04-02_unvisible.png
Akkolskii_evw,26562,2020-04-02,none,data/Akkolskii_evw/26562/26562_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/26562/26562_2020-04-02_unvisible.png
Akkolskii_evw,26536,2020-04-02,none,data/Akkolskii_evw/26536/26536_2020-04-02.png,unvisible,unvisible,data/Akkolskii_evw/26536/26536_2020-04-02_unvisible.png
Astrahanskii_evw,26333,2020-04-02,none,data/Astrahanskii_evw/26333/26333_2020-04-02.png,,nothing,data/Astrahanskii_evw/26333/26333_2020-04-02_nothing.png
Astrahanskii_evw,25903,2020-04-02,none,data/Astrahanskii_evw/25903/25903_2020-04-02.png,,nothing,data/Astrahanskii_evw/25903/25903_2020-04-02_nothing.png
Astrahanskii_evw,25452,2020-04-02,none,data/Astrahanskii_evw/25452/25452_2020-04-02.png,,nothing,data/Astrahanskii_evw/25452/25452_2020-04-02_nothing.png
Astrahanskii_evw,25198,2020-04-02,none,data/Astrahanskii_evw/25198/25198_2020-04-02.png,,nothing,data/Astrahanskii_evw/25198/25198_2020-04-02_nothing.png
Astrahanskii_evw,25649,2020-04-02,none,data/Astrahanskii_evw/25649/25649_2020-04-02.png,,nothing,data/Astrahanskii_evw/25649/25649_2020-04-02_nothing.png
Astrahanskii_evw,26297,2020-04-02,none,data/Astrahanskii_evw/26297/26297_2020-04-02.png,,nothing,data/Astrahanskii_evw/26297/26297_2020-04-02_nothing.png
Atbasarskii_evw,21419,2020-04-02,none,data/Atbasarskii_evw/21419/21419_2020-04-02.png,,nothing,data/Atbasarskii_evw/21419/21419_2020-04-02_nothing.png
Atbasarskii_evw,22067,2020-04-02,none,data/Atbasarskii_evw/22067/22067_2020-04-02.png,,nothing,data/Atbasarskii_evw/22067/22067_2020-04-02_nothing.png
Atbasarskii_evw,21165,2020-04-02,none,data/Atbasarskii_evw/21165/21165_2020-04-02.png,,nothing,data/Atbasarskii_evw/21165/21165_2020-04-02_nothing.png
Atbasarskii_evw,21927,2020-04-02,none,data/Atbasarskii_evw/21927/21927_2020-04-02.png,,nothing,data/Atbasarskii_evw/21927/21927_2020-04-02_nothing.png
Atbasarskii_evw,21673,2020-04-02,none,data/Atbasarskii_evw/21673/21673_2020-04-02.png,,nothing,data/Atbasarskii_evw/21673/21673_2020-04-02_nothing.png
Zerendinskii_evw,30152,2020-04-02,none,data/Zerendinskii_evw/30152/30152_2020-04-02.png,,nothing,data/Zerendinskii_evw/30152/30152_2020-04-02_nothing.png
Zerendinskii_evw,29504,2020-04-02,none,data/Zerendinskii_evw/29504/29504_2020-04-02.png,,nothing,data/Zerendinskii_evw/29504/29504_2020-04-02_nothing.png
